========================================================================================================================
QUIMICORP PERU S.A.C. — CATALOGO MAESTRO CONSOLIDADO OFICIAL (INVENTARIO FISICO 2026)
FECHA DE CORTE: 02/09/2026 | ACTUALIZADO: 07/09/2026
ESTANDAR: 281 PRODUCTOS CANONICOS | STOCK FISICO TOTAL SUMADO | ORDEN ALFABETICO (A-Z) POR FAMILIAS
========================================================================================================================

========================================================================================================================
SECCION 1: MATERIAS PRIMAS E INSUMOS QUIMICOS GENERALES (INS-001 AL INS-164)
========================================================================================================================
SKU      | PRODUCTO                               | STOCK TOTAL    | ESTADO FISICO        | CATEGORIA
FRAG-057 | FRAGANCIA PACO RABAN (ANTO - INVICTO)  | 433 g          | FRAGANCIA LIQUIDA    | FRAGANCIAS
FRAG-058 | FRAGANCIA PRO CUIDADO                  | 250 g          | FRAGANCIA LIQUIDA    | FRAGANCIAS
FRAG-059 | FRAGANCIA PURE FREEDOM 212             | 849 g          | LIQUIDO              | FRAGANCIAS
FRAG-060 | FRAGANCIA PURE SEDUCTION               | 1,001 g        | FRAGANCIA LIQUIDA    | FRAGANCIAS
FRAG-061 | FRAGANCIA RITCHIE CHANNE               | 228 g          | LIQUIDO              | FRAGANCIAS
FRAG-062 | FRAGANCIA ROSAS                        | 606 g          | LIQUIDO              | FRAGANCIAS
FRAG-063 | FRAGANCIA SAUVAGE ELIXIR DIOR          | 3,169 g        | FRAGANCIA LIQUIDA    | FRAGANCIAS
FRAG-064 | FRAGANCIA TEA TREE                     | 1,944 g        | FRAGANCIA LIQUIDA    | FRAGANCIAS
FRAG-065 | FRAGANCIA ULTRAMAN                     | 100 g          | FRAGANCIA LIQUIDA    | FRAGANCIAS
FRAG-066 | FRAGANCIA VAINILLA                     | 2,637 g        | LIQUIDO              | FRAGANCIAS
FRAG-067 | FRAGANCIA VICARO                       | 100 g          | FRAGANCIA LIQUIDA    | FRAGANCIAS
========================================================================================================================
TOTAL FRAGANCIAS Y ESENCIAS (FRAG): 67
========================================================================================================================

========================================================================================================================
SECCION 3: COLORANTES, PIGMENTOS Y DISPERSANTES (COL-001 AL COL-050)
========================================================================================================================
SKU      | PRODUCTO                               | STOCK TOTAL    | ESTADO FISICO        | CATEGORIA
---------+----------------------------------------+----------------+----------------------+--------------------------
COL-001  | COLORANTE A LA GRASA AMARILLO          | 36 g           | COLORANTE A LA GRASA | COLORANTES Y PIGMENTOS
COL-002  | COLORANTE A LA GRASA AZUL              | 14 g           | COLORANTE A LA GRASA | COLORANTES Y PIGMENTOS
COL-003  | COLORANTE A LA GRASA NARANJA           | 812 g          | COLORANTE A LA GRASA | COLORANTES Y PIGMENTOS
COL-004  | COLORANTE A LA GRASA NEGRO             | 100 g          | COLORANTE A LA GRASA | COLORANTES Y PIGMENTOS
COL-005  | COLORANTE A LA GRASA ROJO              | 103 g          | COLORANTE A LA GRASA | COLORANTES Y PIGMENTOS
COL-006  | COLORANTE ACIDO AMARILLO               | 209 g          | COLORANTE (POLVO)    | COLORANTES Y PIGMENTOS
COL-007  | COLORANTE ACIDO AZUL                   | 495 g          | COLORANTE (POLVO)    | COLORANTES Y PIGMENTOS
COL-008  | COLORANTE ACIDO MARRON CROMO           | 258 g          | COLORANTE (POLVO)    | COLORANTES Y PIGMENTOS
COL-009  | COLORANTE ACIDO NARANJA II             | 108 g          | COLORANTE (POLVO)    | COLORANTES Y PIGMENTOS
COL-010  | COLORANTE ACIDO NEGRO                  | 115 g          | COLORANTE (POLVO)    | COLORANTES Y PIGMENTOS
COL-011  | COLORANTE ACIDO ROJO (RODAMINA B)      | 112 g          | COLORANTE (POLVO)    | COLORANTES Y PIGMENTOS
COL-012  | COLORANTE ACIDO ROJO AMARANTO          | 91 g           | COLORANTE (POLVO)    | COLORANTES Y PIGMENTOS
COL-013  | COLORANTE ACIDO ROJO ESCARLATA         | 238 g          | COLORANTE (POLVO)    | COLORANTES Y PIGMENTOS
COL-014  | COLORANTE ACIDO VERDE BRILLANTE        | 129 g          | COLORANTE (POLVO)    | COLORANTES Y PIGMENTOS
COL-015  | COLORANTE ACIDO VIOLETA                | 88 g           | COLORANTE (POLVO)    | COLORANTES Y PIGMENTOS
COL-016  | COLORANTE AL AGUA NARANJA              | 244 g          | COLORANTE (LIQUIDO)  | COLORANTES Y PIGMENTOS
COL-017  | COLORANTE AMARILLO                     | 96 g           | COLORANTE (POLVO)    | COLORANTES Y PIGMENTOS
COL-018  | COLORANTE AMARILLO CLARO AL AGUA       | 114 g          | COLORANTE (LIQUIDO)  | COLORANTES Y PIGMENTOS
COL-019  | COLORANTE AMARILLO DISPERSANTE         | 936 g          | LIQUIDO              | COLORANTES Y PIGMENTOS
COL-020  | COLORANTE AZUL CRISTAL                 | 109 g          | COLORANTE (POLVO)    | COLORANTES Y PIGMENTOS
COL-021  | COLORANTE AZUL DISPERSANTE             | 940 g          | LIQUIDO              | COLORANTES Y PIGMENTOS
COL-022  | COLORANTE AZUL OSCURO                  | 1,572 g        | COLORANTE (POLVO)    | COLORANTES Y PIGMENTOS
COL-023  | COLORANTE B AMARILLO ORO               | 5,225 g        | COLORANTE (POLVO)    | COLORANTES Y PIGMENTOS
COL-024  | COLORANTE MARRON CROMO                 | 250 g          | COLORANTE (POLVO)    | COLORANTES Y PIGMENTOS
COL-025  | COLORANTE NARANJA                      | 115 g          | COLORANTE (POLVO)    | COLORANTES Y PIGMENTOS
COL-026  | COLORANTE OXIDO DE HIERRO AMARILLO     | 202 g          | POLVO                | COLORANTES Y PIGMENTOS
COL-027  | COLORANTE OXIDO DE HIERRO ROJO         | 146 g          | POLVO                | COLORANTES Y PIGMENTOS
COL-028  | COLORANTE ROJO CLARO                   | 245 g          | COLORANTE (POLVO)    | COLORANTES Y PIGMENTOS
COL-029  | COLORANTE ROJO DISPERSANTE             | 572 g          | LIQUIDO              | COLORANTES Y PIGMENTOS
COL-030  | COLORANTE ROJO PULSO                   | 476 g          | COLORANTE (POLVO)    | COLORANTES Y PIGMENTOS
COL-031  | COLORANTE ROJO RODAMIDA (RODAMINA)     | 238 g          | COLORANTE (POLVO)    | COLORANTES Y PIGMENTOS
COL-032  | COLORANTE ROJO SANGRE                  | 134 g          | COLORANTE (POLVO)    | COLORANTES Y PIGMENTOS
COL-033  | COLORANTE S-NEGRO                      | 1,004 g        | COLORANTE (POLVO)    | COLORANTES Y PIGMENTOS
COL-034  | COLORANTE VERDE                        | 135 g          | COLORANTE (POLVO)    | COLORANTES Y PIGMENTOS
COL-035  | COLORANTE VERDE DISPERSANTE            | 1,211 g        | LIQUIDO              | COLORANTES Y PIGMENTOS
COL-036  | COLORANTE VERDE FLUORESCENTE           | 132 g          | COLORANTE POLVO      | COLORANTES Y PIGMENTOS
COL-037  | COLORANTE VERDE LAVAVAJILLAS           | 102 g          | COLORANTE (POLVO)    | COLORANTES Y PIGMENTOS
COL-038  | COLORANTE VIOLETA                      | 43 g           | COLORANTE (POLVO)    | COLORANTES Y PIGMENTOS
COL-039  | COLORANTE VIOLETA MORADO               | 361 g          | COLORANTE (POLVO)    | COLORANTES Y PIGMENTOS
COL-040  | DISPERSANTE BLANCO CONCENTRADO         | 5,000 g        | CREMA                | COLORANTES Y PIGMENTOS
COL-041  | DISPERSANTE MORADO                     | 5,964 g        | CREMA                | COLORANTES Y PIGMENTOS
COL-042  | DISPERSANTE NEGRO                      | 11,278 g       | LIQUIDO              | COLORANTES Y PIGMENTOS
COL-043  | OXIDO DE HIERRO AZUL (AZUL MILORI)     | 240 g          | POLVO                | COLORANTES Y PIGMENTOS
COL-044  | OXIDO DE HIERRO AZUL ULTRAMAR 462      | 482 g          | POLVO                | COLORANTES Y PIGMENTOS
COL-045  | OXIDO DE HIERRO MARRON 610 (PARDO)     | 254 g          | PIGMENTO / OXIDO     | COLORANTES Y PIGMENTOS
COL-046  | OXIDO DE HIERRO NARANJA MOLIBDEN NL    | 146 g          | PIGMENTO / OXIDO     | COLORANTES Y PIGMENTOS
COL-047  | OXIDO DE HIERRO VERDE                  | 232 g          | POLVO                | COLORANTES Y PIGMENTOS
COL-048  | PERLADO DORADO RC-300                  | 249 g          | POLVO                | COLORANTES Y PIGMENTOS
COL-049  | PERLADO DORADO RC-303                  | 183 g          | POLVO                | COLORANTES Y PIGMENTOS
COL-050  | POLVO DORADO DE BRONCE RPG             | 249 g          | POLVO                | COLORANTES Y PIGMENTOS
========================================================================================================================
TOTAL COLORANTES, PIGMENTOS Y DISPERSANTES (COL): 50
========================================================================================================================

========================================================================================================================
REGISTRO TOTAL DE INSUMOS Y LOTES EXCLUIDOS POR ESTAR MARCADOS COMO VENCIDOS:
------------------------------------------------------------------------------------------------------------------------
- Item 127: FRAGANCIA GOOD GIRL (3,000 g Vencido) -> EXCLUIDO
- Item 130: FRAGANCIA INVICTUS INTENSE (Vencido) -> EXCLUIDO
- Item 143: FRAGANCIA MIX FRUTA (3,650 g + 2,672 g Vencido) -> EXCLUIDO
- Item 153: FRAGANCIA SPARROW NECTAR (174 g Vencido) -> EXCLUIDO
- Item 155: FRAGANCIA VAINILLA (Frasco de 926 g Vencido excluido del total)
- Item 161: GOMA XANTANA (Lote de 1,716 g Vencido excluido del total)
- Item 202: SAB. CHICLE (1,979 g Vencido) -> EXCLUIDO
- Item 203: SAB. CLAVO DE OLOR (621 g + 979 g Vencido) -> EXCLUIDO
- Item 207: SAB. LIMON TRADICIONAL (1,358 g + 742 g Vencido) -> EXCLUIDO
- Item 217: SORBITOL (Lote de 6,795 g Vencido excluido del total)
========================================================================================================================

========================================================================================================================
RESUMEN GENERAL GLOBAL DE INVENTARIO FISICO QUIMICORP PERU S.A.C.:
------------------------------------------------------------------------------------------------------------------------
- SECCION 1: MATERIAS PRIMAS E INSUMOS QUIMICOS (INS) : 164 PRODUCTOS CANONICOS
- SECCION 2: FRAGANCIAS Y ESENCIAS LIQUIDAS (FRAG)    : 67 PRODUCTOS CANONICOS
- SECCION 3: COLORANTES, PIGMENTOS Y DISPERSANTES (COL): 50 PRODUCTOS CANONICOS
------------------------------------------------------------------------------------------------------------------------
GRAN TOTAL DE PRODUCTOS CANONICOS UNICOS               : 281 PRODUCTOS
TOTAL DE PESAJES FISICOS CONSOLIDADOS                 : 325 CONTEOS
MASA TOTAL FISICA INVENTARIADA                        : 4,118,197.79 g (4118.20 kg)
INSUMOS / LOTES EXCLUIDOS POR VENCIMIENTO             : 10 REGISTROS
========================================================================================================================
